Category,Headline,Owner agency,Date Promised,Status,Requires state action or cooperation,Targets,Short description,Description,SEO tags,Updates,Source Text,Source URL,Last Updated,URL Slugs
Affordability,End Tax Lien Sale System,Mayor's Office,2025-02-03,Not started,No,Immediate end,Abolishes the tax lien sale system that sells homeowner debt to private investors.,"• The administration halts the tax lien sale on Day One, ending the sale of municipal tax debt to investor-backed private trusts.

• A new city-run tax collection system is established to give homeowners additional opportunities to enter into payment plans and pay down arrears.

• The administration works with the City Council to permanently abolish the tax lien sale system to keep homeowners in their homes.","tax lien sale, foreclosure prevention, debt collection, homeowners, finance",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,end-tax-lien-sale-new-york
Affordability,Advocate for a State Mortgage Recording Tax Exemption,Mayor's Office,2025-02-03,Not started,Yes,No specific targets stated,Calls for a state exemption from the mortgage recording tax for certain first-time homebuyers.,"• The Mamdani administration would advocate for a mortgage recording tax exemption for low- and middle-income first-time homebuyers.

• The mortgage recording tax currently ranges from 50 cents to $1 per $100 of mortgage financing.

• Implementing the exemption would require changes to state law governing the mortgage recording tax.","mortgage tax, homeownership, tax exemption, first-time buyers, affordability",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,state-mortgage-recording-tax-exemption-new-york
Affordability,Create City-Run Grocery Stores,Mayor's Office,2025-01-07,Not started,No,One in each borough,Launches a pilot program of city-run grocery stores aimed at lowering food prices.,"• As candidate, Mayor Mamdani said he would create a pilot network of city-owned grocery stores, with one location in each borough, to sell food at lower prices.

• He said the stores would operate with lower overhead by avoiding rent and property taxes, buying and selling at wholesale prices, and centralizing warehousing and distribution.

• In a CNN interview, Mamdani said the pilot would cost about $60 million and could be funded by redirecting existing city subsidies currently used to support private grocery operators.","public grocery, food security, affordability, pilot program, city-run",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,run-grocery-stores-new-york
Affordability,Ban Hidden and 'Junk' Fees,Department of Consumer and Worker Protection,2025-02-03,Not started,Yes,No specific targets stated,Prohibits hidden fees in consumer transactions through new legislation.,"• Mayor Mamdani said he would advocate for city and state legislation banning hidden “junk fees” that are not disclosed upfront to consumers.

• The proposal targets surprise charges added at checkout, including fees associated with tickets, apartment rentals, flights, and other consumer services.

• The plan includes expanding enforcement by the Department of Consumer and Worker Protection to police compliance and pricing transparency.","junk fees, consumer protection, transparency, dcwp, legislation",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,hidden-junk-fees-new-york
Affordability,Fund $3 Million for Nonprofits Intervening in Con Edison and Other Utility Rate Cases,Mayor's Office,2025-02-03,Not started,No,$3 million cap,Creates a pilot program to fund nonprofit organizations that challenge utility rate cases.,"• The Mamdani administration would create a pilot program with a $3 million cap to fund nonprofit organizations that intervene in utility rate cases before state regulators.

• The program would support intervenors participating in proceedings at the State Public Service Commission, including cases involving Con Edison and other regulated utilities.

• The administration cites nonprofit intervenors as one of the few ways ratepayers can contest proposed utility rate increases.","utility rates, con ed, consumer advocacy, pilot program, funding",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,3-million-nonprofits-intervening-con-edison-new-york
Housing,Create the Office Of Deed Theft Prevention,Mayor's Office,2025-02-03,Not started,No,No specific targets stated,Establishes a dedicated office to investigate and prevent deed theft and property fraud.,"• Create a new Office of Deed Theft Prevention within the Mayor’s Office to focus on investigating and stopping deed theft and related property fraud.

• The commitment includes allocating $10 million to fund staffing, investigations, and prevention and outreach efforts.

• Resources would be directed toward neighborhoods with higher rates of fraudulent property transfers and homeowners at risk of losing their properties.","deed theft, fraud prevention, homeowners, equity, justice",No updates yet,Policy Memo: Stop the Squeeze on NYC Homeowners,https://www.zohranfornyc.com/platform,,deed-theft-prevention-new-york
Affordability,Adjust Property Tax Assessments,Department of Finance,2025-02-03,Not started,Yes,No specific targets stated,Shifts property tax burdens by adjusting assessment percentages to favor outer-borough homeowners.,"• Adjust property tax assessment percentages to shift the burden from outer boroughs to wealthier neighborhoods. 

• The policy effectively lowers tax payments for homeowners in working-class areas while raising them for high-value properties. 

• The Mayor utilizes administrative power to push class assessment percentages down for specific groups.","property tax, tax reform, assessment, equity, homeowners",No updates yet,Policy Memo: Stop the Squeeze on NYC Homeowners,https://www.zohranfornyc.com/platform,,adjust-property-tax-assessments-new-york
Affordability,Advocate For Tax Circuit Breakers,Mayor's Office,2025-02-03,Not started,Yes,No specific targets stated,"Pushes for state ""circuit breaker"" legislation to cap property taxes based on income.","• Advocate for state “circuit breaker” legislation that limits property tax payments for eligible homeowners.

• Under a circuit breaker system, property tax bills would be capped at a set percentage of household income.

• The proposal focuses on protecting homeowners with fixed or limited incomes, including seniors and residents in rapidly changing neighborhoods.","property tax, circuit breaker, tax relief, low-income homeowners, albany",No updates yet,Policy Memo: Stop the Squeeze on NYC Homeowners,https://www.zohranfornyc.com/platform,,tax-circuit-breakers-new-york
Climate,Increase NYC Accelerator Investment,Mayor's Office,2025-02-03,Not started,No,No specific targets stated,Boosts funding for the NYC Accelerator to help buildings comply with Local Law 97.,"• Local Law 97 sets emissions limits for large buildings, but many homeowners and building boards struggle to navigate compliance requirements.

• The Mamdani administration wants to turn the NYC Accelerator into a “true one-stop shop” where building owners can get clear guidance on what the law requires and how to comply.

• The expanded Accelerator would centralize technical assistance, planning support, and compliance help so owners do not have to piece together information from multiple agencies or consultants.","local law 97, nyc accelerator, energy efficiency, climate compliance, buildings",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,nyc-accelerator-investment-new-york
Climate,Transform 50 Public Schools Into Community Resilience Hubs,"Mayor’s Office of Climate & Environmental Justice, Department of Education",2025-02-03,Not started,No,50 schools,"Converts 50 public schools into community resilience hubs equipped to support residents before, during, and after climate emergencies.","• The city would establish 50 resilience hubs in New York City public schools, prioritizing low-income communities of color with high exposure to extreme heat, flooding, and power outages.

• The hubs would provide cooling and heating, resilient backup power, internet access, medical supplies, and space for community services, while also operating year-round as centers for training, programming, and social connection.

• The 50 school-based hubs would add to the city’s existing network of 181 library cooling centers, 295 older adult centers, and 17 private facilities, expanding access to cooling centers that are open to New Yorkers of all ages.","resilience hubs, climate adaptation, emergency management, schools, mocej",No updates yet,Policy Memo: Green Schools for a Healthier New York City,https://www.zohranfornyc.com/platform,,transform-50-public-schools-community-resilience-new-york
